题目id,得分,推荐率
0,0.532734528737,0.158044164588
1,0.510264309619,0.163863425116
2,0.433544490296,0.18742579451
3,0.371925170991,0.211898000249
4,0.450595646516,0.181621486898
5,0.395379041572,0.201865625325
6,0.431405398502,0.188180248605
7,0.359999699628,0.217391446301
8,0.407958626894,0.196866427117
9,0.364118044183,0.215462426538
10,0.248322467472,0.287090295168
11,0.302052199087,0.248723922483
12,0.393864972489,0.202484495906
13,0.533964869506,0.157737446994
14,0.302473614625,0.248463492677
15,0.435815393587,0.186631442838
16,0.370205800319,0.212672833751
17,0.249827096968,0.285855500808
18,0.434436033045,0.187113132006
19,0.384503793106,0.206396732952
20,0.325824615592,0.234838467149
21,0.321244301679,0.237391935277
22,0.395765178238,0.201708398229
23,0.438876268332,0.185571356314
24,0.506415139706,0.164903534646
25,0.34876535279,0.222833601966
26,0.443023740081,0.184154011361
27,0.334973652995,0.229898981953
28,0.0,1.0
29,0.216447495171,0.316008189435
30,0.343895044782,0.225278477819
31,0.292634198956,0.254689989476
32,0.340584271662,0.226971334276
33,0.328789672011,0.233214572382
34,0.284229601789,0.260261051034
35,0.499416043339,0.166829034877
36,0.365992754991,0.214595611045
37,0.469157468612,0.175698300584
38,0.474942554972,0.173930419892
39,0.336409782226,0.22914243464
40,0.434772627454,0.186995360021
41,0.461378828068,0.178132831165
42,0.395078055396,0.201988350948
43,0.388269872265,0.204804772279
44,0.361338390358,0.216760629703
45,0.32960112337,0.23277406543
46,0.439382180471,0.185397300134
47,0.339994670708,0.22727548004
48,0.430912250724,0.18835504335
49,0.434231587241,0.187184738582
50,0.500138582703,0.166628180361
51,0.479909646808,0.172440656144
52,0.371563093866,0.212060700468
53,0.429041928653,0.189020934985
54,0.404893863193,0.198061428926
55,0.31278989089,0.242253994603
56,0.35598733154,0.219304338263
57,0.405743007975,0.197728882897
58,0.143313759686,0.410991964158
59,0.394454826183,0.202242944562
60,0.330594703097,0.232236948761
61,0.133008725297,0.429168478016
62,0.380025325458,0.208322341961
63,0.340277166344,0.227129652965
64,0.267216993267,0.272318552337
65,0.488197358016,0.170010964241
66,0.289224206889,0.256921327682
67,0.219473586689,0.313014922568
68,0.277917753687,0.264607838675
69,0.358198139649,0.218246193834
70,0.322728034325,0.236558713594
71,0.41966464649,0.19243179361
72,0.351842012342,0.221316294786
73,0.361128863901,0.216859120797
74,0.451553075002,0.181306214274
75,0.317604359484,0.239461101708
76,0.260723055318,0.277220983039
77,0.372853141244,0.211482152232
78,0.285580612854,0.259349139107
79,0.365350234874,0.2148919083
80,0.320794825407,0.237645507887
81,0.385572818834,0.205942334746
82,0.439670663987,0.185298195128
83,0.356616181339,0.219002313292
84,1.0,0.09090909090909091
85,0.42561621688,0.190252881834
86,0.334655141663,0.230067449835
87,0.27897767254,0.263867787592
88,0.0653753802694,0.604684928537
89,0.558306546486,0.151904915018
90,0.200639695866,0.332624072519
91,0.408685154476,0.196585253413
92,0.328718825252,0.23325311162
93,0.248374160865,0.287047695362
94,0.439490016254,0.185360242057
95,0.439440010085,0.185377424979
96,0.377560485624,0.209397559074
97,0.40564809626,0.197765997221
98,0.459423492113,0.178755453444
99,0.396390073358,0.201454471729
100,0.490499778185,0.169348073775
101,0.460166357934,0.178518396515
102,0.169684438479,0.370803745904
103,0.391115712306,0.203618001816
104,0.428881788486,0.189078168651
105,0.334069715767,0.230377739721
106,0.337249738562,0.228702252239
107,0.436857197503,0.186269273216
108,0.487634259654,0.17017387662
109,0.373332991046,0.211267758411
110,0.370235677628,0.212659321182
111,0.195876327691,0.337979049491
112,0.378420441823,0.209021168951
113,0.425621162549,0.190251091708
114,0.280104081618,0.263085835791
115,0.476548070376,0.17344607525
116,0.225635148238,0.307092156793
117,0.38138762099,0.207732803337
118,0.365577637051,0.214786948603
119,0.090625,0.524590163934
120,0.173687549672,0.365380157482
121,0.202648258682,0.330416571487
122,0.375279459068,0.210402528643
123,0.399834165276,0.200066355898
124,0.402302942477,0.199083046392
125,0.324103350804,0.235791581959
126,0.483210653986,0.171464631719
127,0.563583360933,0.150696967235
128,0.456280981282,0.179765268569
129,0.29580374097,0.252650467009
130,0.265614496927,0.273512130511
131,0.441849112958,0.184553222675
132,0.316019862746,0.240373138292
133,0.0643119694284,0.608598389684
134,0.313887680936,0.241611443408
135,0.385693707044,0.205891076104
136,0.434663829966,0.187033411268
137,0.406370776823,0.197483750203
138,0.408323004506,0.196725308738
139,0.43755932939,0.186025978032
140,0.466522447418,0.176515512237
141,0.421119790284,0.191894458557
142,0.464721512827,0.177078431986
143,0.413143723576,0.194877176521
144,0.353834209579,0.220344782057
145,0.424996156595,0.190477584919
146,0.362064017775,0.216420227832
147,0.358008973539,0.218336333516
148,0.23607094794,0.29755621726
149,0.331666630927,0.231660250841
150,0.358099585132,0.21829314683
151,0.402831443501,0.198873800142
152,0.464204629521,0.177240658385
153,0.398394724654,0.200644178305
154,0.490077799096,0.169469178731
155,0.413837354769,0.194614111006
156,0.315458361622,0.240698007881
157,0.429934057086,0.188702723788
158,0.389314673459,0.204367466222
159,0.404504888949,0.19821413467
160,0.4591000065,0.178858878264
161,0.455234527466,0.18010407324
162,0.240729029408,0.293488348127
163,0.397720680582,0.200915903038
164,0.393305631195,0.202714085704
165,0.404294658438,0.198296766239
166,0.30216395529,0.248654805297
167,0.34945290149,0.222492723194
168,0.46394251705,0.177323037325
169,0.409151640293,0.196405141585
170,0.386626069021,0.205496594544
171,0.422361459947,0.191438319378
172,0.414412554844,0.194396499577
173,0.591937128602,0.144521800994
174,0.291701286865,0.255296582762
175,0.470253529646,0.175360598052
176,0.218742050539,0.313733314543
177,0.164602154497,0.377925872109
178,0.486944002097,0.170374004407
179,0.376686307596,0.209781565794
180,0.298555706171,0.250905954806
181,0.417963800362,0.193063685011
182,0.341629284364,0.226434259549
183,0.342142197262,0.226171581494
184,0.227513531754,0.305330895687
185,0.425789906527,0.190190033621
186,0.281970021471,0.261800650258
187,0.390651837918,0.203810507313
188,0.307575788491,0.245353141241
189,0.375665547394,0.210231749068
190,0.448359118176,0.182362245261
191,0.517860562705,0.161848815147
192,0.361741778209,0.216571262812
193,0.397668700248,0.200936888235
194,0.718706821682,0.122143846065
195,0.256085986178,0.280831046101
196,0.455535309825,0.180006559856
197,0.332643202345,0.231137342406
198,0.382021452529,0.207459646195
199,0.504402298081,0.165452713065
200,0.308155908202,0.245004416181
201,0.349240633348,0.222597851968
202,0.269515636674,0.270624542171
203,0.245200670492,0.289686575225
204,0.15,0.4
205,0.232552500589,0.300704399525
206,0.322409205287,0.23673726507
207,0.327384021055,0.233981606877
208,0.319803154992,0.23820688056
209,0.375533053703,0.210290324135
210,0.40987995636,0.196124595118
211,0.464950128758,0.177006774421
212,0.408928902488,0.196491100252
213,0.61680478721,0.139507996855
214,0.414210168636,0.194473011425
215,0.351970781326,0.221253240545
216,0.485548118802,0.170780157581
217,0.222201924029,0.310364378802
218,0.366676764124,0.214281077799
219,0.325295931012,0.235130394411
220,0.446899973999,0.182848792749
221,0.421786432279,0.191649291384
222,0.3203837921,0.237877867509
223,0.335763137186,0.229482467576
224,0.422320098877,0.191453478844
225,0.39999999999999997,0.2
226,0.408919068578,0.196494897076
227,0.346014106105,0.224208155373
228,0.440855030863,0.184892428273
229,0.518115901879,0.161781956581
230,0.396499716735,0.201409983993
231,0.338430756605,0.228086188055
232,0.316544192877,0.240070565645
233,0.430205926525,0.188605964206
234,0.335745193145,0.229491917692
235,0.441011506119,0.184838952349
236,0.538556063475,0.156603320711
237,0.36350851936,0.215745764799
238,0.349504515743,0.222467175518
239,0.473874982556,0.174253980465
240,0.527020390755,0.159484446558
